[TRACE] 04:37:45:664 sac-cli/(15599:15599): Config file read: LISTEN_PORT: 8003, IP: 127.0.0.1
[TRACE] 04:38:24:733 sac-cli/(19338:19338): Config file read: LISTEN_PORT: 8003, IP: 127.0.0.1
[TRACE] 04:39:06:959 sac-cli/(25263:25263): Config file read: LISTEN_PORT: 8003, IP: 127.0.0.1
[TRACE] 04:40:23:557 sac-cli/(28275:28275): Config file read: LISTEN_PORT: 8003, IP: 127.0.0.1
[TRACE] 04:40:54:502 sac-cli/(28891:28891): Config file read: LISTEN_PORT: 8003, IP: 127.0.0.1
[TRACE] 04:41:28:167 sac-cli/(29866:29866): Config file read: LISTEN_PORT: 5003, IP: 127.0.0.1
[TRACE] 04:41:37:820 sac-cli/(29903:29903): Config file read: LISTEN_PORT: 5003, IP: 127.0.0.1
[TRACE] 04:42:03:577 sac-cli/(30393:30393): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:42:10:660 sac-cli/(30425:30425): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:42:40:312 sac-cli/(30980:30980): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:53:35:568 sac-cli/(16729:16729): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:53:43:200 sac-cli/(17036:17036): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:54:47:640 sac-cli/(20351:20351): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:55:28:317 sac-cli/(22406:22406): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:56:37:519 sac-cli/(24503:24503): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 04:57:28:77 sac-cli/(29972:29972): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 05:00:33:227 sac-cli/(3580:3580): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 05:01:31:812 sac-cli/(5657:5657): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
[TRACE] 05:03:12:280 sac-cli/(8938:8938): Config file read: LISTEN_PORT: 5005, IP: 127.0.0.1
